COHORT,METRIC,N,MEAN,Q01,Q05,Q50,Q95,Q99
PRIMARY_ALL,DELTA_LOG_P_CONST,316525,0.32605507910777753,-3.391069161051529,-0.9434035073477707,0.04067026368905376,2.6895157717915947,6.789419265051796
PRIMARY_ALL,DELTA_MAX_PAIR_SIGMA,316744,-0.14551158950780607,-2.1432386848498353,-1.1341500002523979,-0.05296320688437883,0.6204063106350852,1.1351995153673784
PRIMARY_ALL,DELTA_MAX_DELTA_VRAD,316744,-0.45681133742046875,-6.869516211395201,-3.7080672726017245,-0.17970002903537718,1.9987246433203438,3.3567235220475986
FROZEN_STRICT_CANDIDATES,DELTA_LOG_P_CONST,11863,1.6672106395420263,-22.974165099370683,-11.001798808137567,1.468469869911928,12.872591432650928,26.455663985600186
FROZEN_STRICT_CANDIDATES,DELTA_MAX_PAIR_SIGMA,12080,-0.2523757515130849,-2.367567707246376,-1.7704929574062638,-0.14873364068140393,0.7847740221967784,1.775315538185662
FROZEN_STRICT_CANDIDATES,DELTA_MAX_DELTA_VRAD,12080,-0.7788228927909102,-6.979213346346448,-5.2593193285235955,-0.4653501723280584,2.396984181923621,5.235784842625478
