FOLD,LABEL,OFFSET_STD_KMS,N_BOOTSTRAPS
0,BACKUP:20211125,0.03249778383101391,50
0,BACKUP:20211206,0.034899987424070356,50
0,BACKUP:20211207,0.04508360936594243,50
0,BACKUP:20211216,0.03970048819556165,50
0,BACKUP:20211217,0.03167705346518164,50
0,BACKUP:20211218,0.03621455419828046,50
0,BACKUP:20211220,0.03461397336948525,50
0,BACKUP:20220101,0.061828609561752776,50
0,BACKUP:20220107,0.041837627375942085,50
0,BACKUP:20220109,0.041837627375942085,50
0,BACKUP:20220111,0.027143797575612413,50
0,BACKUP:20220112,0.06604096491024809,50
0,BACKUP:20220113,0.06263561487472885,50
0,BACKUP:20220114,0.03492461143549062,50
0,BACKUP:20220121,0.06605897750245897,50
0,BACKUP:20220122,0.03236159234095992,50
0,BACKUP:20220123,0.05670840901462317,50
0,BACKUP:20220126,0.08862461454430821,50
0,BACKUP:20220127,0.028834954948387597,50
0,BACKUP:20220128,0.13011459681930249,50
0,BACKUP:20220129,0.04243550031909788,50
0,BACKUP:20220131,0.04964279507287912,50
0,BACKUP:20220203,0.03682725692366177,50
0,BACKUP:20220205,0.05134043920342697,50
0,BACKUP:20220206,0.03354868068130129,50
0,BACKUP:20220207,0.05289993254788489,50
0,BACKUP:20220210,0.03835667958957301,50
0,BACKUP:20220216,0.03157285156709744,50
0,BACKUP:20220217,0.029567750165080207,50
0,BACKUP:20220221,0.07931297432332136,50
0,BACKUP:20220227,0.0328299368715817,50
0,BACKUP:20220302,0.05354386597820896,50
0,BACKUP:20220303,0.06320184513697102,50
0,BACKUP:20220305,0.05663454478481366,50
0,BACKUP:20220310,0.028712372043118647,50
0,BACKUP:20220312,0.09109452285367538,50
0,BACKUP:20220313,0.021141972391578907,50
0,BACKUP:20220315,0.025387106162793428,50
0,BACKUP:20220316,0.019381962364430672,50
0,BACKUP:20220317,0.13882505947904786,50
0,BACKUP:20220318,0.030610864313474834,50
0,BACKUP:20220319,0.019454401849457303,50
0,BACKUP:20220325,0.02982109737910788,50
0,BACKUP:20220331,0.07081173454812599,50
0,BACKUP:20220409,0.03631758189858555,50
0,BACKUP:20220412,0.021214850271189134,50
0,BACKUP:20220413,0.1294398054217596,50
0,BACKUP:20220416,0.039033291051489886,50
0,BACKUP:20220417,0.03401346629116737,50
0,BACKUP:20220418,0.028822292343468062,50
0,BACKUP:20220422,0.02642435709249586,50
0,BACKUP:20220423,0.026365260752582005,50
0,BACKUP:20220426,0.023691570294187652,50
0,BACKUP:20220429,0.059117780205386605,50
0,BACKUP:20220430,0.045858325070875554,50
0,BACKUP:20220502,0.11766748596149416,50
0,BACKUP:20220503,0.027627349441152298,50
0,BACKUP:20220504,0.1280619633717382,50
0,BACKUP:20220505,0.04683306654780044,50
0,BACKUP:20220506,0.07317026545772784,50
0,BACKUP:20220507,0.09686477322271113,50
0,BACKUP:20220509,0.0528265927956794,50
0,BACKUP:20220510,0.028207316942859422,50
0,BACKUP:20220511,0.02154862784062892,50
0,BACKUP:20220513,0.0339450197941048,50
0,BACKUP:20220514,0.03156561976847229,50
0,BACKUP:20220515,0.03147579232508677,50
0,BACKUP:20220516,0.14770272447201033,50
0,BACKUP:20220518,0.07214861662056389,50
0,BACKUP:20220522,0.08133934045398224,50
0,BACKUP:20220523,0.060372647160396156,50
0,BACKUP:20220524,0.06696387573838583,50
0,BACKUP:20220525,0.0757344324272222,50
0,BACKUP:20220526,0.04954513934118759,50
0,BACKUP:20220527,0.04744887426792424,50
0,BACKUP:20220528,0.06225884769215834,50
0,BACKUP:20220529,0.12270500204495338,50
0,BACKUP:20220530,0.31906015739475474,28
0,BACKUP:20220601,0.05514415337497882,50
0,BACKUP:20220603,0.3741816377475471,40
0,BACKUP:20220604,0.0690592639777469,50
0,BACKUP:20220605,0.0523982430887482,50
0,BACKUP:20220607,0.11301418684914974,50
0,BACKUP:20220608,0.1004930566279153,50
0,BACKUP:20220609,0.16212718789374192,50
0,BACKUP:20220610,0.1054043303093501,50
0,BACKUP:20220611,0.4392121801286587,47
0,BACKUP:20220612,0.037706198825220326,50
0,BACKUP:20220613,0.07798685510460923,50
0,BRIGHT:20210514,0.0751726496846501,50
0,BRIGHT:20210515,0.12055874584793945,50
0,BRIGHT:20210516,0.0988614228760794,50
0,BRIGHT:20210517,0.11312679535872057,50
0,BRIGHT:20210518,0.08521656847572491,50
0,BRIGHT:20210519,0.07215651557491808,50
0,BRIGHT:20210521,0.0737572206678006,50
0,BRIGHT:20210522,0.067189316933671,50
0,BRIGHT:20210523,0.1184616126865351,50
0,BRIGHT:20210528,0.12211037108728362,50
0,BRIGHT:20210530,0.34615625920301807,45
0,BRIGHT:20210531,0.08892050236965067,50
0,BRIGHT:20210601,0.1682450468787796,8
0,BRIGHT:20210602,0.09413938377019272,50
0,BRIGHT:20210603,0.08259174204248841,50
0,BRIGHT:20210604,0.16793630217341193,50
0,BRIGHT:20210605,0.09027054487393792,50
0,BRIGHT:20210606,0.1400988817718527,50
0,BRIGHT:20210607,0.1723762647084371,50
0,BRIGHT:20210608,0.15372311137439454,50
0,BRIGHT:20210609,0.08181507382029449,50
0,BRIGHT:20210610,0.10297694460057683,50
0,BRIGHT:20210611,0.22308553510034324,50
0,BRIGHT:20210612,0.14715947972215437,50
0,BRIGHT:20210613,0.08635725315395955,50
0,BRIGHT:20210614,0.4039849528003733,50
0,BRIGHT:20210615,0.10078386731764069,50
0,BRIGHT:20210616,0.3909009426846637,50
0,BRIGHT:20210617,0.06509640269906289,50
0,BRIGHT:20210618,0.09057953374573842,50
0,BRIGHT:20210619,0.08980414888760409,50
0,BRIGHT:20210620,0.11423885970420665,50
0,BRIGHT:20210621,0.20505965967600373,50
0,BRIGHT:20210626,0.1239227676841266,50
0,BRIGHT:20210627,0.15021175286279573,50
0,BRIGHT:20210628,0.18674727626251114,50
0,BRIGHT:20210705,0.15235376031565176,50
0,BRIGHT:20210706,0.12459976465749567,50
0,BRIGHT:20210708,0.12650142494632055,50
0,BRIGHT:20210709,0.11548592374703258,50
0,BRIGHT:20210921,0.1324802699812496,50
0,BRIGHT:20210923,0.09201204626004268,50
0,BRIGHT:20210926,0.10059008716232204,50
0,BRIGHT:20210927,0.08478499119430265,50
0,BRIGHT:20210928,0.12415973689782092,50
0,BRIGHT:20210930,0.15496752999346686,50
0,BRIGHT:20211001,0.18253739402696237,50
0,BRIGHT:20211002,0.19087508885598933,50
0,BRIGHT:20211003,0.11650206085017129,50
0,BRIGHT:20211005,0.17362334877751673,50
0,BRIGHT:20211006,0.15409533304223522,50
0,BRIGHT:20211009,0.0628368880132163,50
0,BRIGHT:20211014,0.1091040506226174,50
0,BRIGHT:20211015,0.07514040423575477,50
0,BRIGHT:20211016,0.06618113285222668,50
0,BRIGHT:20211019,0.10155671320685197,50
0,BRIGHT:20211020,0.10186210002265103,50
0,BRIGHT:20211021,0.06608866652228515,50
0,BRIGHT:20211022,0.08165332394406948,50
0,BRIGHT:20211023,0.07245397473785406,50
0,BRIGHT:20211024,0.1375757332769046,50
0,BRIGHT:20211026,0.08565838009850016,50
0,BRIGHT:20211029,0.0976818435760556,50
0,BRIGHT:20211031,0.13599885445596793,50
0,BRIGHT:20211101,0.1868324918290382,50
0,BRIGHT:20211103,0.13316178486449,50
0,BRIGHT:20211105,0.11431760803644338,50
0,BRIGHT:20211106,0.14674941387111493,50
0,BRIGHT:20211107,0.09355814067653244,50
0,BRIGHT:20211110,0.19202102557437342,50
0,BRIGHT:20211111,0.09248082666943347,50
