COHORT,N_SOURCES,N_DECLARED_GAIA_OR_SPECDIS_MATCH,DECLARED_MATCH_FRACTION
DETECTED,197,94,0.47715736040609136
ELIGIBLE_NOT_DETECTED,756,246,0.3253968253968254
