PROGRAM,N_DETECTED,MEDIAN_MIN_SUPPORT_DELTA_RV_KMS,MAX_SUPPORT_DELTA_RV_KMS,MEDIAN_MIN_SUPPORT_PAIR_SIGMA
BACKUP,161,42.872008814841536,185.26853030533067,13.871928705061812
BRIGHT,8,36.899769456361014,112.77477835213337,20.600683722026332
DARK,28,41.69566207300857,115.15419961664459,12.616192609192055
